ZipCode,TaxRegionName,EstimatedCombinedRate
90601,WHITTIER,0.1025
90602,WHITTIER,0.1025
90603,WHITTIER,0.1025
90604,LOS ANGELES COUNTY,0.095
90605,LOS ANGELES COUNTY,0.095
90606,LOS ANGELES COUNTY,0.095
90607,WHITTIER,0.1025
90608,WHITTIER,0.1025
90609,WHITTIER,0.1025
90620,BUENA PARK,0.0775
90621,BUENA PARK,0.0775
90622,BUENA PARK,0.0775
90623,LA PALMA,0.0875
90630,CYPRESS,0.0775
90631,LA HABRA,0.0825
90632,LA HABRA,0.0825
90633,LA HABRA,0.0825
90637,LA MIRADA,0.095
90638,LA MIRADA,0.095
90639,LA MIRADA,0.095
90640,MONTEBELLO,0.1025
90650,NORWALK,0.1025
90651,NORWALK,0.1025
90652,NORWALK,0.1025
90660,PICO RIVERA,0.1025
90662,PICO RIVERA,0.1025
90670,SANTA FE SPRINGS,0.105
90671,SANTA FE SPRINGS,0.105
90680,STANTON,0.0875
90701,ARTESIA,0.095
90702,ARTESIA,0.095
90703,CERRITOS,0.095
90704,AVALON,0.1
90706,BELLFLOWER,0.1025
90707,BELLFLOWER,0.1025
90710,LOS ANGELES,0.095
90711,LAKEWOOD,0.1025
90712,LAKEWOOD,0.1025
90713,LAKEWOOD,0.1025
90714,LAKEWOOD,0.1025
90715,LAKEWOOD,0.1025
90716,HAWAIIAN GARDENS,0.1025
90717,LOMITA,0.1025
90720,LOS ALAMITOS,0.0925
90721,LOS ALAMITOS,0.0925
90723,PARAMOUNT,0.1025
90731,LOS ANGELES,0.095
90732,LOS ANGELES,0.095
90733,LOS ANGELES,0.095
90734,RANCHO PALOS VERDES,0.095
90740,SEAL BEACH,0.0875
90742,HUNTINGTON BEACH TOURISM BID,0.0775
90743,SEAL BEACH,0.0875
90744,LOS ANGELES,0.095
90745,CARSON,0.1025
90746,CARSON,0.1025
90747,CARSON,0.1025
90748,LOS ANGELES,0.095
90749,CARSON,0.1025
90755,SIGNAL HILL,0.1025
90801,LONG BEACH,0.1025
90802,LONG BEACH,0.1025
90803,LONG BEACH,0.1025
90804,LONG BEACH,0.1025
90805,LONG BEACH,0.1025
90806,LONG BEACH,0.1025
90807,LONG BEACH,0.1025
90808,LONG BEACH,0.1025
90809,LONG BEACH TOURISM BIA,0.1025
90810,LONG BEACH,0.1025
90813,LONG BEACH,0.1025
90814,LONG BEACH,0.1025
90815,LONG BEACH,0.1025
90822,LONG BEACH,0.1025
90831,LONG BEACH TOURISM BIA,0.1025
90832,LONG BEACH TOURISM BIA,0.1025
90833,LONG BEACH TOURISM BIA,0.1025
90840,LONG BEACH,0.1025
90844,LONG BEACH,0.1025
90846,LONG BEACH,0.1025
90853,LONG BEACH,0.1025
90895,CARSON,0.1025
91001,LOS ANGELES COUNTY,0.095
